calc_time,funding_interval_hours,last_funding_rate
1785542400001,8,0.00006744
1785571200000,8,0.00002308
1785600000000,8,0.00005777
1785628800000,8,0.00002775
1785657600000,8,0.00005607
1785686400000,8,0.00001434
1785715200000,8,0.00010000
1785744000000,8,-0.00000869
1785772800000,8,0.00003664
1785801600004,8,0.00005396
1785830400002,8,0.00005342
1785859200000,8,0.00007309
1785888000003,8,0.00003467
1785916800004,8,0.00000613
1785945600000,8,0.00003054
1785974400002,8,0.00000394
1786003200000,8,0.00000987
1786032000000,8,0.00000987
1786060800000,8,-0.00000562
1786089600000,8,0.00005102
1786118400000,8,0.00003625
1786147200001,8,3.4E-7
1786176000000,8,0.00002738
1786204800002,8,0.00007172
1786233600000,8,0.00003196
1786262400005,8,0.00004185
1786291200000,8,0.00007977
1786320000001,8,0.00004828
1786348800005,8,0.00003426
1786377600000,8,0.00001434
1786406400000,8,0.00001104
1786435200006,8,0.00006272
1786464000000,8,0.00005425
1786492800001,8,0.00010000
1786521600000,8,0.00007290
1786550400000,8,0.00005726
1786579200000,8,0.00005218
1786608000000,8,0.00008523
1786636800000,8,0.00005923
1786665600000,8,0.00002697
1786694400001,8,-0.00000675
1786723200001,8,0.00000686
1786752000003,8,0.00005131
1786780800002,8,0.00004368
1786809600000,8,0.00005945
1786838400000,8,-0.00000423
1786867200002,8,0.00001949
1786896000000,8,0.00003970
1786924800001,8,0.00002723
1786953600003,8,0.00006731
1786982400005,8,0.00006471
1787011200006,8,0.00004633
1787040000001,8,0.00002206
1787068800003,8,0.00004443
1787097600000,8,0.00003595
1787126400000,8,0.00002640
1787155200004,8,0.00010000
1787184000001,8,0.00010000
1787212800000,8,0.00010000
1787241600005,8,0.00010000
1787270400004,8,0.00009031
1787299200000,8,0.00010000
1787328000001,8,0.00010000
1787356800000,8,0.00010000
1787385600000,8,0.00010000
1787414400000,8,0.00010000
1787443200000,8,0.00010000
1787472000000,8,0.00010000
1787500800006,8,0.00010000
1787529600001,8,0.00010000
1787558400002,8,0.00010000
1787587200000,8,0.00010000
1787616000001,8,0.00009302
1787644800000,8,0.00006736
1787673600005,8,0.00007398
1787702400000,8,0.00003144
1787731200005,8,0.00010000
1787760000000,8,0.00007451
1787788800000,8,0.00010000
1787817600000,8,0.00006226
1787846400013,8,0.00001082
1787875200026,8,0.00002071
1787904000000,8,-0.00000133
1787932800001,8,0.00005622
1787961600000,8,0.00001591
1787990400000,8,0.00002808
1788019200002,8,0.00006071
1788048000000,8,0.00003166
1788076800000,8,0.00002817
1788105600001,8,0.00004116
1788134400002,8,0.00002364
1788163200002,8,0.00003522
1788192000001,8,0.00007702
