block_number,block_time,log_index,amount0,amount1,sqrt_price_x96,sqrt_price_x96_str,tick
25661337,2026-08-01 16:51:35+00:00,51,-83190910.0,4.455e+16,1.8329767650376293e+33,1832976765037629193231579509026198,200992
25662656,2026-08-01 21:17:11+00:00,427,9992480.0,-5436243529766010.0,1.8484214579374562e+33,1848421457937456252022574942510567,201160
25662656,2026-08-01 21:17:11+00:00,867,42268.0,-22994736122862.0,1.8484214576648268e+33,1848421457664826916757909954811391,201160
25668899,2026-08-02 18:09:35+00:00,89,182866251.0,-9.78391380451027e+16,1.8330638069629678e+33,1833063806962967757836147331164492,200993
25676378,2026-08-03 19:11:23+00:00,17,8079788546.0,-4.322352221038564e+18,1.8329156960745824e+33,1832915696074582363817894545519412,200991
25677990,2026-08-04 00:34:11+00:00,20,1701785578.0,-9.178595672765492e+17,1.8404440948622956e+33,1840444094862295700003144870387847,201073
25677990,2026-08-04 00:34:11+00:00,46,260710991.99999997,-1.4061552040640077e+17,1.8404539307265197e+33,1840453930726519794380904802248279,201073
25677990,2026-08-04 00:34:11+00:00,59,89787638.0,-4.8427265453763896e+16,1.8404533696122416e+33,1840453369612241436925975402090355,201073
25677990,2026-08-04 00:34:11+00:00,72,88692524.0,-4.783658273094689e+16,1.840452815342052e+33,1840452815342051975387058942257515,201073
25677990,2026-08-04 00:34:11+00:00,85,87942567.0,-4.74320627004778e+16,1.840452265758932e+33,1840452265758932139832130528434499,201073
25677990,2026-08-04 00:34:11+00:00,98,87202082.0,-4.703265199674531e+16,1.8404517208036815e+33,1840451720803681474529409195920777,201073
25677990,2026-08-04 00:34:11+00:00,124,945958574.0,-5.101997636519984e+17,1.84043953873578e+33,1840439538735780223331429386589224,201073
25677990,2026-08-04 00:34:11+00:00,151,363430216.0,-1.960128345807442e+17,1.840431490255923e+33,1840431490255922972468830863207328,201073
25677990,2026-08-04 00:34:11+00:00,164,379780739.0,-2.0483082609180538e+17,1.8404291169337852e+33,1840429116933785310207241260468623,201073
25685545,2026-08-05 01:49:23+00:00,32,100560098.0,-5.372583438961036e+16,1.831752772659963e+33,1831752772659962899426628825842869,200979
25687869,2026-08-05 09:36:11+00:00,71,-27161706850.0,1.4520163915668195e+19,1.8314572753723581e+33,1831457275372358154036097138426245,200975
25690255,2026-08-05 17:35:47+00:00,96,135636762.0,-7.16508572426459e+16,1.8214199797887338e+33,1821419979788733753234478649648798,200865
25690255,2026-08-05 17:35:47+00:00,412,2463611073.0,-1.301407003920008e+18,1.821408106713442e+33,1821408106713442126676596398320532,200865
25691379,2026-08-05 21:20:35+00:00,672,93000061.0,-4.864574130453119e+16,1.8124621775718984e+33,1812462177571898262330995613047697,200767
25693194,2026-08-06 03:24:47+00:00,2,-192774351199.0,1.0176924720756752e+20,1.8201959761125863e+33,1820195976112586276746285510831405,200852
25695255,2026-08-06 10:17:35+00:00,27,402278.0,-211455415409637.0,1.816916271255408e+33,1816916271255408014447350558479211,200816
25695255,2026-08-06 10:17:35+00:00,175,16443968.000000002,-8642491977703348.0,1.816788450490476e+33,1816788450490476147740235501251578,200815
25695255,2026-08-06 10:17:35+00:00,672,500000000.0,-2.627858803351644e+17,1.8167870722470704e+33,1816787072247070528012265261426510,200815
25702931,2026-08-07 11:56:47+00:00,68,147691734.0,-7.712681264493933e+16,1.8109762070674158e+33,1810976207067415820092338611130253,200750
25711883,2026-08-08 17:57:47+00:00,34,-95216558.0,4.952213715232175e+16,1.8064022381190287e+33,1806402238119028636341273539805573,200700
25711883,2026-08-08 17:57:47+00:00,218,-188444216.0,9.801e+16,1.8064037724025724e+33,1806403772402572370200110755714279,200700
25711883,2026-08-08 17:57:47+00:00,280,-646311166.0,3.3614741454211674e+17,1.806405514726975e+33,1806405514726974926375067594647714,200700
25726285,2026-08-10 18:07:11+00:00,575,845550000.0,-4.514328585258143e+17,1.8311100437645984e+33,1831110043764598298058470869648238,200972
25730673,2026-08-11 08:50:11+00:00,305,-2211164822.0,1.1789973188146573e+18,1.8290205206077394e+33,1829020520607739276853106871286096,200949
25733302,2026-08-11 17:39:35+00:00,38,103353709.0,-5.5459374585849864e+16,1.8357458194746096e+33,1835745819474609603473450833586521,201022
25733302,2026-08-11 17:39:35+00:00,66,94720078.0,-5.08265092129078e+16,1.835744452905021e+33,1835744452905020901344497986820822,201022
25750017,2026-08-14 01:34:11+00:00,270,271452870.0,-1.439101194029731e+17,1.8246790319182765e+33,1824679031918276400755858652211797,200901
25752394,2026-08-14 09:31:47+00:00,29,174799995.0,-9.327068315991883e+16,1.830585232867637e+33,1830585232867636884515002296762893,200966
25754200,2026-08-14 15:33:59+00:00,187,107746.0,-57428637448495.0,1.829583009755955e+33,1829583009755955197919685798938173,200955
25754200,2026-08-14 15:33:59+00:00,290,2879209.0,-1534620500589349.0,1.82958299416399e+33,1829582994163990083027692327189579,200955
25754200,2026-08-14 15:33:59+00:00,294,4967898.0,-2647893545669841.0,1.829582970255894e+33,1829582970255893783841653296603230,200955
25774817,2026-08-17 12:31:11+00:00,2,79922937417.0,-4.208902385554586e+19,1.8185052695112837e+33,1818505269511283656703334756727226,200833
25778553,2026-08-18 01:00:35+00:00,353,40507527.0,-2.1215767290310196e+16,1.8136341350434188e+33,1813634135043418890513548399700040,200780
25789938,2026-08-19 15:05:35+00:00,28,-180294236139.0,9.047475355226892e+19,1.7746107692923508e+33,1774610769292350830839979075647675,200345
25789938,2026-08-19 15:05:35+00:00,344,-5931139936.0,2.977188517862689e+18,1.7746267268187565e+33,1774626726818756395394873362193505,200345
25789938,2026-08-19 15:05:35+00:00,383,-6008422124.0,3.0160355948828923e+18,1.7746428925628324e+33,1774642892562832292067193376848312,200345
25789938,2026-08-19 15:05:35+00:00,399,-1699763396.0,8.532367917060312e+17,1.7746474658535567e+33,1774647465853556798395493117475460,200345
25789938,2026-08-19 15:05:35+00:00,414,-5191711628.0,2.606130751383457e+18,1.7746614345357655e+33,1774661434535765545703073398465671,200345
25789938,2026-08-19 15:05:35+00:00,424,-1474752321.0,7.403023311582022e+17,1.7746654025055217e+33,1774665402505521803796640868283107,200345
25789938,2026-08-19 15:05:35+00:00,441,-1709262067.0,8.58026655135955e+17,1.774670001469586e+33,1774670001469586007447016373263864,200345
25789938,2026-08-19 15:05:35+00:00,459,-1052634823.0000001,5.2841078979947885e+17,1.7746728337152032e+33,1774672833715203179111978474810411,200345
25789938,2026-08-19 15:05:35+00:00,474,-1237263911.0,6.210946624789376e+17,1.7746761627400256e+33,1774676162740025556840975802706595,200345
25789938,2026-08-19 15:05:35+00:00,495,-880250512.0,4.4187876576836026e+17,1.7746785311799248e+33,1774678531179924642901216574005766,200345
25789938,2026-08-19 15:05:35+00:00,502,-903815910.0,4.537096353947386e+17,1.774680963032474e+33,1774680963032474063666175226027360,200346
25789938,2026-08-19 15:05:35+00:00,512,-3066146695.0,1.539194715216089e+18,1.7746892130106546e+33,1774689213010654484343167834430555,200346
25789938,2026-08-19 15:05:35+00:00,540,-742698806.0,3.728343073564067e+17,1.7746912113769885e+33,1774691211376988642907749025937518,200346
25789938,2026-08-19 15:05:35+00:00,560,-552126176.0,2.771675178092957e+17,1.7746926969758875e+33,1774692696975887627580595490391147,200346
25789938,2026-08-19 15:05:35+00:00,576,-329896897.0,1.65608569886273e+17,1.7746935846264718e+33,1774693584626471758265693191422134,200346
25789938,2026-08-19 15:05:35+00:00,610,-2047023007.0,1.0276112843954849e+18,1.774699092552526e+33,1774699092552525822591694663752799,200346
25789938,2026-08-19 15:05:35+00:00,618,-1755494569.0,8.812682723064385e+17,1.7747038160900651e+33,1774703816090065128942868734611357,200346
25789938,2026-08-19 15:05:35+00:00,634,-777450355.0,3.902860050790425e+17,1.774705907996303e+33,1774705907996302978529036132157286,200346
25789938,2026-08-19 15:05:35+00:00,828,-1996174351.0,1.0020989559951561e+18,1.7747112791780254e+33,1774711279178025377910378121700262,200346
25789938,2026-08-19 15:05:35+00:00,955,-4111919673.9999995,2.0642428206120497e+18,1.774722343378065e+33,1774722343378065038641993541817151,200346
25789938,2026-08-19 15:05:35+00:00,964,-420458732.0,2.110777816272483e+17,1.774723474740508e+33,1774723474740507737728012835595307,200346
25789938,2026-08-19 15:05:35+00:00,974,-381526265.0,1.9153322224590102e+17,1.7747245013454516e+33,1774724501345451695393190642258024,200346
25789938,2026-08-19 15:05:35+00:00,989,-1461568958.0,7.337366244244785e+17,1.7747284341234698e+33,1774728434123469860325822621618220,200346
