loaded in 1 s 159990 2678341 93
baseline net_apr -11.39 days 31.0
    hedge_band  range_width  fee_apr  lvr_apr  funding_apr  hedge_cost_apr  net_apr  fee_over_lvr  in_range_pct  sharpe  n_hedges
0        0.005         0.02   103.14     7.65         1.80         -139.67  -178.07           NaN          82.3  -32.53     21664
1        0.010         0.02   103.14     7.65         1.80         -119.62  -157.97           NaN          82.3  -29.18     13174
2        0.020         0.02   103.14     7.65         1.80          -89.75  -129.28           NaN          82.3  -24.96      6175
3        0.050         0.02   103.14     7.65         1.81          -51.26   -90.64           NaN          82.3  -19.23      1596
4        0.100         0.02   103.14     7.65         1.83          -30.61   -65.83           NaN          82.3  -14.31       469
5        0.005         0.05    61.33     5.51         1.97          -53.77   -71.57           NaN          93.2  -20.40     12210
6        0.010         0.05    61.33     5.51         1.97          -39.88   -58.25           NaN          93.2  -17.24      5542
7        0.020         0.05    61.33     5.51         1.97          -26.13   -42.92           NaN          93.2  -13.89      2029
8        0.050         0.05    61.33     5.51         2.00          -13.89   -32.37           NaN          93.2   -9.93       442
9        0.100         0.05    61.37     5.52         2.02           -8.39   -26.82           NaN          93.2   -7.79       122
10       0.005         0.10    34.87     4.43         1.40          -21.37   -29.51           NaN          90.1  -16.53      5278
11       0.010         0.10    34.85     4.43         1.40          -13.85   -21.36           NaN          90.1  -13.36      1911
12       0.020         0.10    34.84     4.42         1.40           -8.12   -14.74           NaN          90.1   -9.27       568
13       0.050         0.10    35.12     4.46         1.45           -4.45   -12.25           NaN          90.1   -6.10       117
14       0.100         0.10    35.65     4.53         1.52           -2.61    -7.45           NaN          90.1   -2.86        29
15       0.005         0.15    28.49     4.07         1.46          -13.17   -21.02           NaN          98.2  -13.00      3218
16       0.010         0.15    28.44     4.06         1.46           -8.29   -16.34           NaN          98.2  -10.57      1094
17       0.020         0.15    28.57     4.08         1.47           -4.81   -12.50           NaN          98.2   -7.30       312
18       0.050         0.15    28.56     4.08         1.50           -2.47   -11.14           NaN          98.2   -4.60        63
19       0.100         0.15    28.77     4.11         1.46           -1.48    -9.27           NaN          98.2   -2.65        15
20       0.005         0.25    18.70     5.52         1.83           -5.93   -10.78           NaN          98.3   -8.24      1422
21       0.010         0.25    18.71     5.52         1.83           -3.56    -7.89           NaN          98.3   -6.70       427
22       0.020         0.25    18.73     5.53         1.84           -2.38   -10.70           NaN          98.3   -5.97       137
23       0.050         0.25    18.70     5.52         1.84           -1.23    -8.63           NaN          98.3   -3.34        25
24       0.100         0.25    18.63     5.50         1.86           -0.81    -8.37           NaN          98.3   -2.24         7
25       0.005         0.50    10.51     3.28         1.30           -1.48    -3.09           NaN         100.0   -5.19       312
26       0.010         0.50    10.51     3.27         1.31           -0.80    -2.08           NaN         100.0   -2.72        85
27       0.020         0.50    10.52     3.28         1.30           -0.43    -1.35           NaN         100.0   -1.23        23
28       0.050         0.50    10.48     3.27         1.38           -0.17     1.50           NaN         100.0    0.77         4
29       0.100         0.50    10.43     3.25         1.41           -0.20    -8.73           NaN         100.0   -2.52         2
