range_width,hedge_band,fee_apr,lvr_apr,funding_apr,hedge_cost_apr,net_apr,fee_over_lvr,in_range_pct,sharpe,n_hedges
0.05,0.01,188.12,-134.23,2.85,-81.97,-26.6,1.401,89.2,-26.43,10051
0.05,0.02,188.08,-134.21,2.82,-53.55,2.12,1.401,89.2,1.76,3861
0.05,0.05,188.9,-134.79,2.81,-26.89,27.65,1.401,89.2,18.11,821
0.05,0.1,189.88,-135.49,2.77,-14.01,49.81,1.401,89.2,18.51,200
0.05,0.25,190.46,-135.91,2.81,-7.48,36.39,1.401,89.2,6.18,39
0.1,0.01,101.42,-68.55,3.0,-28.9,1.26,1.479,93.1,1.18,4100
0.1,0.02,101.38,-68.52,3.0,-16.87,16.0,1.479,93.1,16.04,1269
0.1,0.05,101.31,-68.48,3.02,-7.84,28.99,1.479,93.1,16.46,219
0.1,0.1,101.85,-68.85,2.95,-5.85,14.78,1.479,93.1,6.08,75
0.1,0.25,101.5,-68.61,3.15,-2.61,25.1,1.479,93.1,4.45,12
0.15,0.01,75.01,-50.84,3.49,-15.27,9.83,1.475,96.4,15.19,2184
0.15,0.02,75.11,-50.91,3.49,-8.76,16.43,1.475,96.4,18.34,639
0.15,0.05,75.43,-51.13,3.49,-3.49,31.5,1.475,96.4,20.99,90
0.15,0.1,75.28,-51.03,3.45,-2.37,28.62,1.475,96.4,12.67,27
0.15,0.25,75.39,-51.1,3.45,-1.55,9.77,1.475,96.4,1.73,7
0.25,0.01,50.39,-34.09,3.51,-6.1,13.82,1.478,100.0,41.5,901
0.25,0.02,50.38,-34.09,3.5,-3.09,18.58,1.478,100.0,35.1,236
0.25,0.05,50.33,-34.06,3.48,-1.56,14.7,1.478,100.0,14.24,47
0.25,0.1,50.63,-34.26,3.59,-0.66,24.09,1.478,100.0,10.46,9
0.25,0.25,50.38,-34.09,3.58,-0.19,26.38,1.478,100.0,5.76,1
0.5,0.01,27.18,-18.39,3.09,-1.56,9.88,1.478,100.0,25.5,198
0.5,0.02,27.13,-18.35,3.08,-0.72,12.72,1.478,100.0,24.79,46
0.5,0.05,27.05,-18.3,3.12,-0.28,14.77,1.478,100.0,10.53,7
0.5,0.1,27.08,-18.32,3.09,-0.08,18.25,1.478,100.0,8.2,1
0.5,0.25,27.75,-18.77,2.9,-0.0,29.57,1.478,100.0,6.3,0
